"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
1303,桃園市震災災害出動救災人次,380320000A 【消防局】,每年,CSV,區域(桃園市十三個行政區)、出動救災人次_消防人員(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義消人員(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_民間救難團體(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義勇搜救隊(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_警察(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義警(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_民防(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_國軍(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_其他(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e7702140-1480-4a11-accc-80cd9f0f6ca7,公共資訊 (948),提供桃園市地震災害出動救災之公、私立機關團體人次統計。,區域(桃園市十三個行政區)、出動救災人次_消防人員(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義消人員(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_民間救難團體(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義勇搜救隊(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_警察(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_義警(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_民防(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_國軍(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。)、出動救災人次_其他(出動救災人次，分為消防人員_義消人員_民間救難團體_義勇搜救隊_警察_義警_民防_國軍_其他。),原始資料,CSV,2018-03-02 16:36:38,380320000A 【消防局】,26,2016-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""義消, 救災, 消防""",2017-05-11 14:00:08,鍾先生,03-3379119-660,alliechang@mail.tyfd.gov.tw,
1304,桃園市政府消防局救災救護指揮中心受理市內電話量統計,380320000A 【消防局】,每年,CSV,年度(民國紀年統計年度。)、總來話次數_次(當年度受理市內電話總來話次數。)、總談話時間_時(當年度受理市內電話總通話時間，單位為小時。)、總談話時間_分(當年度受理市內電話總通話時間，單位為分。)、總談話時間_秒(當年度受理市內電話總通話時間，單位為秒。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e770faab-6e80-4dad-8a6d-a0171e1498bf,公共資訊 (948),提供桃園市政府消防局119報案專線年度受理室內電話報案次數及通話時間統計,年度(民國紀年統計年度。)、總來話次數_次(當年度受理市內電話總來話次數。)、總談話時間_時(當年度受理市內電話總通話時間，單位為小時。)、總談話時間_分(當年度受理市內電話總通話時間，單位為分。)、總談話時間_秒(當年度受理市內電話總通話時間，單位為秒。),原始資料,CSV,2018-01-15 10:02:22,380320000A 【消防局】,4,2014-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 119""",2017-05-12 09:12:25,羅先生,03-3379119-698,alliechang@mail.tyfd.gov.tw,
1305,桃園市菸酒製造業者資料一覽表,380030000D 【財政局】,不定期,CSV,製造業者名稱(桃園市菸酒製造業者名稱)、統一編號(桃園市菸酒製造業者統一編號)、負責人(桃園市菸酒製造業者負責人)、總機構所在地(桃園市菸酒製造業者總機構所在地)、許可執照號碼(桃園市菸酒製造業者許可執照號碼),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e79ec516-a3bd-48ff-9e61-1b4fd7c3425d,公共資訊 (948),揭露桃園市菸酒製造業者相關資料，供消費者查詢及運用，以維護其權益。,製造業者名稱(桃園市菸酒製造業者名稱)、統一編號(桃園市菸酒製造業者統一編號)、負責人(桃園市菸酒製造業者負責人)、總機構所在地(桃園市菸酒製造業者總機構所在地)、許可執照號碼(桃園市菸酒製造業者許可執照號碼),原始資料,CSV,2018-03-09 15:32:06,380030000D 【財政局】,36,,,政府資料開放授權條款－第1版,,,,,Big5,"""菸酒製造業, 菸酒, 財政局, 公共資訊""",2015-09-18 02:52:16,方先生,03-3322101#5533,054020@mail.tycg.gov.tw,
1306,桃園市政府青年事務局創新創業補助活動,380420000A 【青年事務局】,每年,PDF,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e7a9827b-719d-458e-bce9-f49da0fbb6d3,公共資訊 (948),"""本局為協助青年突破困境，提升青年對職涯應變能力及思維之開拓，本年度2月18日公布「桃園市106年補助辦理青年職涯及創業主題活動計畫」，係為補助創業精神、創業知能及職涯發展相關教育課程及工作坊、主題研討會、座談、講座及論壇活動、產業媒合及市場對接與提案競賽活動、創新創業、創客及職涯發展相關議題之國內與國際綜合策展、行銷宣導、媒合對接等活動。
""","""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",原始資料,PDF,2017-05-11 14:31:36,380420000A 【青年事務局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,,2017-05-01 16:27:06,黃士純,(03)4225205#3003,10017355@mail.tycg.gov.tw,
1307,桃園市各都市計畫-土地使用管制彙整表(1),380360000G 【都市發展局】,不定期,CSV,名稱都市計畫名稱土管規定建蔽率容積率、桃園市都市計畫、縱貫公路桃園內壢間都市計畫、中壢平鎮都市擴大修訂計畫、中壢龍岡地區都市計畫、中壢過嶺地區楊梅高榮地區新屋頭洲地區觀音富源地區主要計畫、平鎮山仔頂地區都市計畫、龍壽、迴龍地區都市計畫、南崁地區都市計畫、楊梅都市計畫、楊梅富岡豐野地區都市計畫、大溪鎮埔頂地區都市計畫、八德大湳地區都市計畫、八德八德地區都市計畫、龜山都市計畫、復興都市計畫,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e7dc69e4-e31e-43db-9703-57e81353b4dc,公共資訊 (948),桃園市各都市計畫-土地使用管制彙整表(1),名稱都市計畫名稱土管規定建蔽率容積率、桃園市都市計畫、縱貫公路桃園內壢間都市計畫、中壢平鎮都市擴大修訂計畫、中壢龍岡地區都市計畫、中壢過嶺地區楊梅高榮地區新屋頭洲地區觀音富源地區主要計畫、平鎮山仔頂地區都市計畫、龍壽、迴龍地區都市計畫、南崁地區都市計畫、楊梅都市計畫、楊梅富岡豐野地區都市計畫、大溪鎮埔頂地區都市計畫、八德大湳地區都市計畫、八德八德地區都市計畫、龜山都市計畫、復興都市計畫,原始資料,CSV,2016-03-01 03:35:25,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""土地使用管制, 都發局""",2016-02-19 09:16:19,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
1308,101年桃園市土地公告現值-八德,380160000A 【地政局】,不定期,CSV,行政區(行政區名稱)、段小段(地段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e7f071fa-9781-443b-9e10-6165c236475c,購屋及遷徒 (195),101年桃園市土地公告現值,行政區(行政區名稱)、段小段(地段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),原始資料,CSV,2018-04-12 19:31:45,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 101, 桃園""",2017-11-23 09:18:47,王先生,03-3322101#5353,10029563@mail.tycg.gov.tw,
1309," 桃園市房地產消費糾紛原因及來源明細統計表",380160000A 【地政局】,不定期,CSV,"""消費糾紛原因(消費糾紛原因)、已備查仲介(件)
(A)(已備查仲介)、未備查仲介(件)
(B)(未備查仲介)、非法仲介(件)
(C)(非法仲介)、仲介(件)
(D)(仲介)、代銷(件)
(E)(代銷)、建商(件)
(F)(建商)、地政士(件)
(G)(地政士)、非不動產服務業(件)
(H)(非不動產服務業)、其他(件)
(I)(其他)、小計
(J)(小計)""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e7f38b29-901c-444d-ac7a-483a941a60ce,購屋及遷徒 (195)," 桃園市房地產消費糾紛原因及來源明細統計表","""消費糾紛原因(消費糾紛原因)、已備查仲介(件)
(A)(已備查仲介)、未備查仲介(件)
(B)(未備查仲介)、非法仲介(件)
(C)(非法仲介)、仲介(件)
(D)(仲介)、代銷(件)
(E)(代銷)、建商(件)
(F)(建商)、地政士(件)
(G)(地政士)、非不動產服務業(件)
(H)(非不動產服務業)、其他(件)
(I)(其他)、小計
(J)(小計)""",原始資料,CSV,2018-04-11 18:28:14,380160000A 【地政局】,1,2017-01-01,2017-03-31,政府資料開放授權條款－第1版,,,,,Big5,"""仲介, 建商, 消費糾紛, 代銷, 地政士""",2017-06-01 14:13:06,楊恩銘,(03)3322101分機5357,10034111@mail.tycg.gov.tw,
1310,附屬單位預算營業基金盈虧撥補綜計表(依撥補項目分列),380200000A 【主計處】,每季,CSV,項目1(項目1)、項目2(項目2)、項目3(項目3)、本年度預算數_金額(本年度預算數_金額)、本年度預算數_百分比(本年度預算數_百分比)、上年度預算數_金額(上年度預算數_金額)、上年度預算數_百分比(上年度預算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e8179fca-f63e-4a74-b077-e7abc16c9004,公共資訊 (948),附屬單位預算營業基金盈虧撥補綜計表(依撥補項目分列),項目1(項目1)、項目2(項目2)、項目3(項目3)、本年度預算數_金額(本年度預算數_金額)、本年度預算數_百分比(本年度預算數_百分比)、上年度預算數_金額(上年度預算數_金額)、上年度預算數_百分比(上年度預算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),原始資料,CSV,2018-03-21 14:36:38,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""附屬單位預算營業基金盈虧撥補綜計表, 主計處""",2017-06-19 18:15:38,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,
1311,桃園市溫泉井位置,380250000G 【水務局】,不定期,CSV,名稱(面積M2)、TWD97_E座標(TWD97_E座標)、TWD97_N座標(TWD97_N座標),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e84e4437-63af-49e4-b1a9-d4acff5ae749,公共資訊 (948),桃園市溫泉井位置,名稱(面積M2)、TWD97_E座標(TWD97_E座標)、TWD97_N座標(TWD97_N座標),原始資料,CSV,2018-03-26 14:25:03,380250000G 【水務局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""溫泉, TWD97座標""",2017-05-10 17:03:27,朱家駒,(03)303-3688#3713,10012477@mail.tycg.gov.tw,
1312,桃園市風災災害建物損失,380320000A 【消防局】,每年,CSV,區域(桃園市十三個行政區)、建物損失_建物全倒_棟(依據建築技術規則建築設計施工編第1條規定，具有單獨或共同之出入口並以無開口之防火牆及防火樓板區劃分開者。)、建物損失_建物全倒_戶(指房屋或其他處所，編有路街門號者，1個門號以1戶計算。)、建物損失_建物半倒_棟(依據建築技術規則建築設計施工編第1條規定，具有單獨或共同之出入口並以無開口之防火牆及防火樓板區劃分開者。)、建物損失_建物半倒_戶(指房屋或其他處所，編有路街門號者，1個門號以1戶計算。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e87401bb-ca21-455f-bd3f-834ebdec2492,公共資訊 (948),提供桃園市颱風災害造成建築物毀損狀況統計。,區域(桃園市十三個行政區)、建物損失_建物全倒_棟(依據建築技術規則建築設計施工編第1條規定，具有單獨或共同之出入口並以無開口之防火牆及防火樓板區劃分開者。)、建物損失_建物全倒_戶(指房屋或其他處所，編有路街門號者，1個門號以1戶計算。)、建物損失_建物半倒_棟(依據建築技術規則建築設計施工編第1條規定，具有單獨或共同之出入口並以無開口之防火牆及防火樓板區劃分開者。)、建物損失_建物半倒_戶(指房屋或其他處所，編有路街門號者，1個門號以1戶計算。),原始資料,CSV,2018-03-02 16:05:01,380320000A 【消防局】,26,2016-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""颱風, 消防""",2017-05-11 14:17:59,鍾先生,03-3379119-660,alliechang@mail.tyfd.gov.tw,
1313,桃園市救護車設置概況,380140000I 【衛生局】,不定期,CSV,類別(類別)、設置單位(設置單位)、單位所在地(單位所在地)、救護車種類一般型(救護車種類一般型)、救護車種類加護型(救護車種類加護型)、救護車數量一般型(救護車數量一般型)、救護車數量加護型(救護車數量加護型)、小計一般型(小計一般型)、小計加護型(小計加護型)、總計(總計),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e892048d-f375-4e78-aac5-25c94a139704,就醫 (57),1. 四間民間救護車公司提供活動待命及緊急醫療服務申請使用，收費方式依據『桃園市救護車執行勤務收費標準(95年)』實施。可申請部分包含初/中級救護技術員、救護車。2.截至104年6月止桃園市救護車輛共162輛，一般型161輛及加護型1輛；設置位置部分：(1)消防機關:115輛，(2)民間救護車公司:42輛，(3)其他:5輛,類別(類別)、設置單位(設置單位)、單位所在地(單位所在地)、救護車種類一般型(救護車種類一般型)、救護車種類加護型(救護車種類加護型)、救護車數量一般型(救護車數量一般型)、救護車數量加護型(救護車數量加護型)、小計一般型(小計一般型)、小計加護型(小計加護型)、總計(總計),原始資料,CSV,2018-04-10 14:19:25,380140000I 【衛生局】,,2015/8/18,,政府資料開放授權條款－第1版,,,,,UTF-8,"""就醫, 衛生局, 支援救護, 救護車, 救護技術員""",2015-10-08 06:13:09,廖先生,3340935#2306,tyhtazliao1@tychb.gov.tw,"""桃園市救護車執行勤務收費標準
http://www.tychb.gov.tw/form/index-1.asp?Parser=2,12,154,72,,,500"""
1314,104-106年度附屬單位決算作業基金平衡綜計表(依基金別分列),380200000A 【主計處】,不定期,CSV,科目1(科目1)、科目2(科目2)、科目3(科目3)、科目4(科目4)、合計_金額(合計_金額)、合計_百分比(合計_百分比)、桃園市醫療作業基金_金額(桃園市醫療作業基金_金額)、桃園市醫療作業基金_百分比(桃園市醫療作業基金_百分比)、桃園市土地重劃基金_金額(桃園市土地重劃基金_金額)、桃園市土地重劃基金_百分比(桃園市土地重劃基金_百分比)、桃園市實施平均地權基金_金額(桃園市實施平均地權基金_金額)、桃園市實施平均地權基金_百分比(桃園市實施平均地權基金_百分比)、桃園市都市更新基金_金額(桃園市都市更新基金_金額)、桃園市都市更新基金_百分比(桃園市都市更新基金_百分比)、桃園市住宅基金_金額(桃園市住宅基金_金額)、桃園市住宅基金_百分比(桃園市住宅基金_百分比)、公教人員住宅貸款及急難貸款基金_金額(公教人員住宅貸款及急難貸款基金_金額)、公教人員住宅貸款及急難貸款基金_百分比(公教人員住宅貸款及急難貸款基金_百分比)、桃園市產業園區開發管理基金_金額(桃園市產業園區開發管理基金_金額)、桃園市產業園區開發管理基金_百分比(桃園市產業園區開發管理基金_百分比)、桃園市停車場作業基金_金額(桃園市停車場作業基金_金額)、桃園市停車場作業基金_百分比(桃園市停車場作業基金_百分比)、桃園市軌道建設發展基金_金額(桃園市軌道建設發展基金_金額)、桃園市軌道建設發展基金_百分比(桃園市軌道建設發展基金_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e89286d7-a3ea-4976-9b5f-090e08af05f7,公共資訊 (948),104-106年度附屬單位決算作業基金平衡綜計表(依基金別分列),科目1(科目1)、科目2(科目2)、科目3(科目3)、科目4(科目4)、合計_金額(合計_金額)、合計_百分比(合計_百分比)、桃園市醫療作業基金_金額(桃園市醫療作業基金_金額)、桃園市醫療作業基金_百分比(桃園市醫療作業基金_百分比)、桃園市土地重劃基金_金額(桃園市土地重劃基金_金額)、桃園市土地重劃基金_百分比(桃園市土地重劃基金_百分比)、桃園市實施平均地權基金_金額(桃園市實施平均地權基金_金額)、桃園市實施平均地權基金_百分比(桃園市實施平均地權基金_百分比)、桃園市都市更新基金_金額(桃園市都市更新基金_金額)、桃園市都市更新基金_百分比(桃園市都市更新基金_百分比)、桃園市住宅基金_金額(桃園市住宅基金_金額)、桃園市住宅基金_百分比(桃園市住宅基金_百分比)、公教人員住宅貸款及急難貸款基金_金額(公教人員住宅貸款及急難貸款基金_金額)、公教人員住宅貸款及急難貸款基金_百分比(公教人員住宅貸款及急難貸款基金_百分比)、桃園市產業園區開發管理基金_金額(桃園市產業園區開發管理基金_金額)、桃園市產業園區開發管理基金_百分比(桃園市產業園區開發管理基金_百分比)、桃園市停車場作業基金_金額(桃園市停車場作業基金_金額)、桃園市停車場作業基金_百分比(桃園市停車場作業基金_百分比)、桃園市軌道建設發展基金_金額(桃園市軌道建設發展基金_金額)、桃園市軌道建設發展基金_百分比(桃園市軌道建設發展基金_百分比),原始資料,CSV,2018-03-21 13:07:25,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位決算作業基金平衡綜計表,2017-06-20 17:58:04,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,自107年起「桃園市都市更新基金」變更為「桃園市都市發展基金」，致主要欄位變更，爰本資料集自107年度後不再更新。
1315,桃園市合作社名冊,380120000J 【社會局】,不定期,CSV,社名(合作社名稱)、聯絡地址(合作社立案地址)、理事主席(合作社負責人),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e8d2ba37-9fe6-44a4-b69d-a482530f20c5,公共資訊 (948),"""合作社名、理事主席及聯絡地址等資訊。
""",社名(合作社名稱)、聯絡地址(合作社立案地址)、理事主席(合作社負責人),原始資料,CSV,2018-03-21 19:17:41,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,合作社,2016-06-07 08:47:08,吳小姐,(03)3322101#6314,101006@mail.tycg.gov.tw,
1316,年度十大伴手禮,380170000G 【經濟發展局】,不定期,CSV,年度(年度十大伴手禮)、類別(年度十大伴手禮)、企業名稱(年度十大伴手禮)、產品名(年度十大伴手禮),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e8eb073d-5cc7-42ab-88fb-fe4ed3b289f9,公共資訊 (948),年度十大伴手禮,年度(年度十大伴手禮)、類別(年度十大伴手禮)、企業名稱(年度十大伴手禮)、產品名(年度十大伴手禮),原始資料,CSV,2018-04-16 16:40:28,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""桃園好禮, 年度十大伴手禮, 桃園伴手禮""",2017-08-02 16:13:05,許小姐,"03-3322101#5121-5124 ",10014625@mail.tycg.gov.tw,
1317,桃園市103年度建築物公共安全檢查稽查數量,380360000G 【都市發展局】,不定期,CSV,月份、檢查件數、不合格家數含違建、罰鍰件數、斷水斷電件數、限期改善列管複查件數,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e9e39de8-de8a-4d4a-aa2b-d0be1ae57287,公共資訊 (948),桃園市103年度建築物公共安全檢查稽查數量,月份、檢查件數、不合格家數含違建、罰鍰件數、斷水斷電件數、限期改善列管複查件數,原始資料,CSV,2016-03-01 02:29:52,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""建築物公共安全, 都發局""",2016-02-24 09:03:21,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
1318,105年度桃園市政府資訊中心預算資料,380220000A 【研究發展考核委員會】,每年,"""CSV, XLS""","""1.105年歲入來源別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
2.105年歲出機關別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e9e86baf-49df-4281-b2d6-d9522433164a,公共資訊 (948),105年度桃園市政府資訊中心預算資料,"""1.105年歲入來源別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
2.105年歲出機關別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明""",原始資料,"""CSV, XLS""",2016-06-06 06:11:07,380220000A 【研究發展考核委員會】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""預算, 資訊中心, 105年度""",2016-05-25 07:20:59,何先生,03-3322101#6955,10015351@mail.tycg.gov.tw,
1319,桃園市火災財物損失統計,380320000A 【消防局】,每月,CSV,區域別(桃園市十三個行政區)、被毀損房間數_間(凡被火災波及之起火戶及延燒戶皆計算在內_1 門牌號碼為1間計。)、被毀損車輛數_大型車(凡乘載9人以上之客車為大型車，以下者為小型車_1 牌照號碼為1輛計。)、被毀損車輛數_小型車(凡乘載9人以上之客車為大型車，以下者為小型車_1 牌照號碼為1輛計。)、被毀損車輛數_特種車(特殊功能使用之車輛，如消防車_堆高機_吊車… 等為特種車。凡被火災燒損_毀之車輛_含施行搶救之車輛如消防車_救護車…等均統計在內。)、被毀損車輛數_機車(使用汽油等燃料發動行駛的雙輪座車。)、被毀損車輛數_其他(其他種類車輛。)、財物損失情形_房屋_千元(按實際造_購_價折舊及以千元之四捨五入計算。)、財物損失情形_財_物_千元(按實際造_購_價折舊及以千元之四捨五入計算。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=e9f4aaf1-08f0-4ceb-ab78-909d147ae411,公共資訊 (948),提供本市火災造成房屋、各式車輛毀損及損失金額統計。,區域別(桃園市十三個行政區)、被毀損房間數_間(凡被火災波及之起火戶及延燒戶皆計算在內_1 門牌號碼為1間計。)、被毀損車輛數_大型車(凡乘載9人以上之客車為大型車，以下者為小型車_1 牌照號碼為1輛計。)、被毀損車輛數_小型車(凡乘載9人以上之客車為大型車，以下者為小型車_1 牌照號碼為1輛計。)、被毀損車輛數_特種車(特殊功能使用之車輛，如消防車_堆高機_吊車… 等為特種車。凡被火災燒損_毀之車輛_含施行搶救之車輛如消防車_救護車…等均統計在內。)、被毀損車輛數_機車(使用汽油等燃料發動行駛的雙輪座車。)、被毀損車輛數_其他(其他種類車輛。)、財物損失情形_房屋_千元(按實際造_購_價折舊及以千元之四捨五入計算。)、財物損失情形_財_物_千元(按實際造_購_價折舊及以千元之四捨五入計算。),原始資料,CSV,2018-06-21 16:27:24,380320000A 【消防局】,195,2017-03-01,2018-05-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 火災""",2017-05-11 16:56:43,蘇小姐,03-3379119-329,alliechang@mail.tyfd.gov.tw,
1320,105年度桃園市都市設計審議委員第一審議會委員,380360000G 【都市發展局】,每年,CSV,專業類別/職稱、姓名、性別、現職,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=ea90a83a-5abf-4611-a3e6-008f6bf2f08a,公共資訊 (948),105年度桃園市都市設計審議委員 第一審議會委員,專業類別/職稱、姓名、性別、現職,工具軟體,CSV,2016-01-20 00:47:07,380360000G 【都市發展局】,20,2016-01-01,2016-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""公共資訊, 都發局""",2016-01-19 04:30:21,林小姐,03-3322101分機5781~83,077126@mail.tycg.gov.tw,
1321,桃園市政府水務局雨量站即時偵測資料,380250000G 【水務局】,即時,XML,縣市行政區、雨量站、點位、編號 更新日期、十分鐘、一小時、三小時、六小時、十二小時、二十四小時,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=eabd93d1-d526-4de0-b378-b529aa61a4be,公共資訊 (948),提供桃園市政府水務雨量水位站即時監測資料,縣市行政區、雨量站、點位、編號 更新日期、十分鐘、一小時、三小時、六小時、十二小時、二十四小時,網路服務,XML,2018-03-26 14:29:03,380250000G 【水務局】,,,,政府資料開放授權條款－第1版,,,,,,"""雨量, 雨量站, 水情""",2017-03-16 10:14:17,何先生,03-3033688#3629,10015693@mail.tycg.gov.tw,
1322,龜山三七五租約資料,380160000A 【地政局】,不定期,CSV,行政區(行政區)、段名(段名)、地號(地號),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=eacf58ae-5366-4c00-ac73-cde1dd7fae4d,購屋及遷徒 (195),三七五租約資料,行政區(行政區)、段名(段名)、地號(地號),原始資料,CSV,2018-03-15 16:38:28,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""三七五, 三七五租約""",2017-03-22 10:53:21,方先生,03-3322101#5352,10017872@mail.tycg.gov.tw,此資料非即時性資料，實際資料以土地登記資料註記為主
1323,桃園市立案兒童及少年安置及教養機構,380120000J 【社會局】,不定期,CSV,名稱(桃園市立案兒童及少年安置及教養機構名稱)、地址(桃園市立案兒童及少年安置及教養機構地址)、電話(桃園市立案兒童及少年安置及教養機構電話)、網址(桃園市立案兒童及少年安置及教養機構網址)、主要服務事項(桃園市立案兒童及少年安置及教養機構服務),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=ead94f9a-4a91-4f44-b29e-21aeeb3a985c,出生及收養 (2),"""桃園市立案兒少安置機構
1.依據兒童及少年福利與權益保障法第23條、52條、56條、62條及其他依法得安置保護情事接受政府委託安置。
2.依據兒童及少年福利機構設置標準第2條第1項第3款規定辦理安置教養服務。""",名稱(桃園市立案兒童及少年安置及教養機構名稱)、地址(桃園市立案兒童及少年安置及教養機構地址)、電話(桃園市立案兒童及少年安置及教養機構電話)、網址(桃園市立案兒童及少年安置及教養機構網址)、主要服務事項(桃園市立案兒童及少年安置及教養機構服務),原始資料,CSV,2018-04-09 17:38:57,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""桃園市立案兒少安置機構, 社會局, 出生及收養""",2015-10-01 06:29:46,饒小姐,03-3322101#6322,10020527@mail.tycg.gov.tw,
