編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
993,臺中市偏遠地區移動式機車檢驗站機車定檢服務行程表,偏遠地區移動式機車檢驗站，機車定檢服務行程表，辦理地點及時間。,http://opendata.taichung.gov.tw/dataset/3b4ae330-1a9f-11e8-8f43-00155d021202,場次、辦理行政區、地點、日期、時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,1,臺中市政府環境保護局,陳添旺,66237,和平區;石岡區;新社區;外浦區;大安區,中文,rawData,"偏遠地區, 機車定檢",
994,臺中市登革熱噴藥場次,本市執行登革熱防治預防性化學噴藥工作計畫，各里排定之消毒施作日期。,http://opendata.taichung.gov.tw/dataset/3b706d5c-1a9f-11e8-8f43-00155d021202,行政區、里別、噴藥年度、噴藥日期,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,430,臺中市政府環境保護局,余秉澤,22289111轉66532,,中文,rawData,"登革熱, 噴藥",
995,臺中市合格環境用藥販賣業者資訊,提供本市各行政區合格環境用藥販賣業者資訊,http://opendata.taichung.gov.tw/dataset/3b06596c-1a9f-11e8-8f43-00155d021202,販賣許可執照字號、業者名稱、住址、電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,39,臺中市政府環境保護局,黃志賢,04-22289111#66532,全臺中市,中文,rawData,環境用藥,
996,104學年度國民小學學區表,104學年度國民小學學區表,http://opendata.taichung.gov.tw/dataset/3b70814c-1a9f-11e8-8f43-00155d021202,104學年度國民小學學區表,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,求學及進修,0,臺中市政府教育局,黃瑜惠,0952789055,,中文,rawData,"國民小學, 學區表",
997,臺中市環境教育機構,"落實環境教育政策,公布本市通過環境教育機構認證之機構",http://opendata.taichung.gov.tw/dataset/3af24365-1a9f-11e8-8f43-00155d021202,序號、機構名稱、機構地址、機構統一編號、認證核准字號、核准日期、有效期限,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,2,臺中市政府環境保護局,林淳鎂,04-22276011#66136,全臺中市,中文,rawData,環境教育,
998,臺中市事業廢棄物再利用者登記資料,臺中市事業廢棄物再利用者登記相關資訊,http://opendata.taichung.gov.tw/dataset/3aed0527-1a9f-11e8-8f43-00155d021202,申請序號、申報機構管編、申請機構、場(廠)地址、目的事業主管機關、公告再利用，清理計畫書核淮字號、個案再利用許可、檢核通過日期、檢核起始日期、檢核到期日期、再利用廢棄物代碼、再利用廢棄物名稱、廢棄物來源、再利用用途、最大再用利量、許可量(契約備查量)、主要產品種類,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府環境保護局,黃佳雯,04-22276011 #66419,全臺中市,中文,rawData,再利用,
999,臺中市各區區公所原住民服務窗口聯絡電話,臺中市各區區公所原住民服務窗口聯絡電話,http://opendata.taichung.gov.tw/dataset/3b342017-1a9f-11e8-8f43-00155d021202,機關名稱、單位、電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,29,臺中市政府原住民族事務委員會,潘宗佑,22289111分機50404,全臺中市,中文,rawData,"原住民, 窗口",
1000,臺中市河川水質監測資料   ,臺中市河川水質監測資料  ,http://opendata.taichung.gov.tw/dataset/3b71c237-1a9f-11e8-8f43-00155d021202,河川名稱監測站名、監測站編號、水體分類等級、採樣日期、採樣時間、氣溫、水溫(℃)、pH值、溶氧量(mg/L)、總氮(mg/L)、總磷(mg/L)、生化需氧量(5天20℃)(mg/L)、化學需氧量(mg/L)、懸浮固體(mg/L)、鎘(mg/L)、鉛、鉻、鎳、,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,300,臺中市政府環境保護局,陳文裕,04-23822511 #111,全臺中市,中文,rawData,水質監測,
1001,臺中市噪音監測站地點,臺中市噪音監測站地點,http://opendata.taichung.gov.tw/dataset/6b75ba76-141c-4a1d-ada5-8d7b38fb0595,臺中市環保局設置空氣品質監測站有24站，包含第一類管制區環境音量及交通音量測站各2站，第二類管制區環境音量及交通音量測站各4站，第三類管制區環境音量及交通音量測站各4站，第四類管制區環境音量及交通音量測站各2站。,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府環境保護局,蔡欽如,238225511#118,全臺中市,中文,rawData,噪音監測站地點,
1002,臺中市大肚都市計畫區一千分之一地形圖_TWD97,約2009年地測,http://opendata.taichung.gov.tw/dataset/10eb9794-da47-4cd1-909e-ab28e2897451,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,23,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1003,臺中市 中部科學工業園區臺中基地附近特定區地形圖_TWD97,約93年地測,http://opendata.taichung.gov.tw/dataset/893bff90-0dbe-4dc0-bba3-8921b524df62,cad檔案無欄位,一般民眾,http://data.taichung.gov.tw/wSite/ct?xItem=2816\u0026ctNode=222\u0026mp=1,不定期,免費,交通資訊,92,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"中部科學工業園區臺中基地附近特定區地形圖,CAD,地形圖,地形,地理資料","欄位編碼說明:房屋型態:(1:獨戶(無與他戶共用牆或四周有庭院之房舍,2:雙併(兩棟房屋為一單元且有共用牆者),3:連棟式透天厝,4:連棟式公寓,5:獨棟式公寓,6:大廈(六樓(含)以上);房屋結構(1:木造D,2:磚造B,3:鐵架搭建T,4:R.C.(及鋼骨結構),5:其他)"
1004,臺中市合法計程車業者,車隊名稱、公司名稱、公司地址、叫車電話,http://opendata.taichung.gov.tw/dataset/c0b025a3-3f1f-467a-adf4-6066d4007505,車隊名稱、公司名稱、公司地址、叫車電話、申訴電話、收費方式、通話費率,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,12,臺中市政府交通局,苟名伶,04-22289111#60313,全臺中市,中文,rawData,"臺中市計程車業者, 臺中市計程車車隊名稱",
1005,全國性身心障礙福利基金會,提供全國性身心障礙福利基金會相關聯絡資訊,http://opendata.taichung.gov.tw/dataset/1b38faf9-1b54-11e8-8f43-00155d021202,iNo、基金會代碼、基金會名稱、地址、網址、電子信箱、電話、傳真、服務對象、服務範疇\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府社會局,張晉嘉,22289111+37322,全國,中文,rawData,基金會,
1006,長青福利服務-居家服務,提供居家服務單位名冊，服務區域、單位名稱、地址、電話,http://opendata.taichung.gov.tw/dataset/1b38f021-1b54-11e8-8f43-00155d021202,區域、服務區域、單位名稱、電話、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,老年安養,36,臺中市政府社會局,洪曉筑,22289111+37413,臺中市,中文,rawData,居家服務,本報表為歷史資料已無更新，於107年1月1日起移撥本市衛生局
1007,臺中市政府警察局104年9月份交通事故資料,"臺中市政府警察局104年9月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b709b06-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年9月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8460,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
1008,臺中市大甲都市計畫區一千分之一地形圖_TWD97,約2009年地測,http://opendata.taichung.gov.tw/dataset/396c2292-2f36-4ae8-a354-deeabe78e42a,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,19,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1009,臺中市特殊道路_TWD97,"原臺中市現場地面測量,內含高架道路、高速公路、鐵路",http://opendata.taichung.gov.tw/dataset/541ab3b6-254f-4a8d-b8b5-a0edaedcd9fa,圖名代碼、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,50,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路,地理資料,SHP",
1010,臺中市重劃區位置圖_TWD97,全市重劃區概略位置,http://opendata.taichung.gov.tw/dataset/70aaf9e1-ad3d-4b81-a7fd-ef309bf38a6c,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府地政局,莊棨雄,04-22289111轉63556,臺中市,中文,rawData,"重劃區,地理資料,SHP",
1011,臺中市道路面_TWD97,原臺中市現場地面測量,http://opendata.taichung.gov.tw/dataset/70f7d398-d00c-4443-9b84-70645e85076f,圖名代碼、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路,地理資料,SHP",
1012,臺中市都市計畫區範圍_TWD97,依都市計畫圖範圍位置之界限,http://opendata.taichung.gov.tw/dataset/2ed18371-7e5f-44ba-9391-1a943d4473c4,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,32,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,都市計畫圖,地理資料",
1013,臺中市特殊道路_WGS84,"原臺中市現場地面測量,內含高架道路、高速公路、鐵路,WGS84",http://opendata.taichung.gov.tw/dataset/1edcd55a-dbdf-4d1b-8778-9699506f5a17,圖名代碼、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,50,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路,地理資料,SHP",
1014,臺中市農路_TWD97,依水土保持局既有農路圖為依據，經現況調查結果符合「臺中市政府水利局農路管理養護要點」農路定義,http://opendata.taichung.gov.tw/dataset/29eb923e-bf59-4f52-9d69-1ba7ed144f17,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府水利局,林芳宇,04-22289111轉53607,臺中市,中文,rawData,"農路,地理資料,SHP",
1015,臺中市大里都市計畫區一千分之一地形圖_TWD97,約2007年地測,http://opendata.taichung.gov.tw/dataset/3aa78b3c-428a-42c4-a310-839b9650c5eb,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,24,臺中市政府都市發展局,陳廷宇,04-22289111轉65302,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1016,臺中市外埔都市計畫區一千分之一地形圖_TWD97,約2011年地測,http://opendata.taichung.gov.tw/dataset/54af220d-5a06-4008-a1fe-db8b426d914f,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,8,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1017,臺中市后里都市計畫區一千分之一地形圖_TWD97,約2009年地測,http://opendata.taichung.gov.tw/dataset/6d52129a-d4c7-4c05-851e-458c54663353,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,28,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1018,臺中市烏日都市計畫區一千分之一地形圖_TWD97,約2002年地測,http://opendata.taichung.gov.tw/dataset/302bb420-73dc-4acc-8e89-a59bb0bdbb8b,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,43,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1019,臺中市梨山(松茂地區))都市計畫區一千分之一地形圖_TWD97,約2007年地測,http://opendata.taichung.gov.tw/dataset/32c03f83-58b9-4743-9dda-ea6b95c3a231,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,4,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1020,臺中市梨山都市計畫區一千分之一地形圖_TWD97,約2007年地測,http://opendata.taichung.gov.tw/dataset/5afb76f0-69aa-4887-8c9d-93bb2dba814f,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,11,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1021,臺中市新社都市計畫區一千分之一地形圖_TWD97,約2002年地測,http://opendata.taichung.gov.tw/dataset/2a5b7fad-5d48-4559-954e-41154048604d,cad檔案無欄位s,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,13,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1022,臺中市霧峰都市計畫區一千分之一地形圖_TWD97,約2003年地測,http://opendata.taichung.gov.tw/dataset/206eda28-bff4-4d98-8760-8c6489cb096e,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,26,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1023,臺中市鐵砧山都市計畫區一千分之一地形圖_TWD97,約2004年地測,http://opendata.taichung.gov.tw/dataset/5522813f-218a-4241-9b8a-4f012fd5353e,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,9,臺中市政府都市發展局,陳廷宇,04-22289111轉65302,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1024,臺中市建物_TWD67,"原臺中市現場地面測量,twd67",http://opendata.taichung.gov.tw/dataset/34055bb3-3f0b-48b4-84f1-c4a2f30af0a2,圖名代碼、房屋型態碼、房屋結構碼、建物樓層數、更新年度、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,303822,臺中市政府都市發展局,高嘉隆,04-22289111轉65302,台中市,中文,rawData,"臺中市,建物,地理資料,SHP","欄位編碼說明:房屋型態:(1:獨戶(無與他戶共用牆或四周有庭院之房舍,2:雙併(兩棟房屋為一單元且有共用牆者),3:連棟式透天厝,4:連棟式公寓,5:獨棟式公寓,6:大廈(六樓(含)以上);房屋結構(1:木造D,2:磚造B,3:鐵架搭建T,4:R.C.(及鋼骨結構),5:其他)"
1025,臺中市千分之一航測地形圖_TWD67,"地面測量,twd67,cad",http://opendata.taichung.gov.tw/dataset/9e03134f-ccf6-4b34-95a6-e8bf69e23ecd,"cad檔案,無欄位",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,406,臺中市政府都市發展局,高嘉隆,04-22289111轉65302,台中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地理資料","欄位編碼說明:房屋型態:(1:獨戶(無與他戶共用牆或四周有庭院之房舍,2:雙併(兩棟房屋為一單元且有共用牆者),3:連棟式透天厝,4:連棟式公寓,5:獨棟式公寓,6:大廈(六樓(含)以上);房屋結構(1:木造D,2:磚造B,3:鐵架搭建T,4:R.C.(及鋼骨結構),5:其他)"
1026,臺中市土石流潛勢溪流位置圖_TWD97,無,http://opendata.taichung.gov.tw/dataset/b73067b2-55b1-4168-87ea-b44649853d4d,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,106,臺中市政府水利局,李珮禎,22289111-53302,台中市,中文,rawData,"土石流潛勢溪流分布,地理資料,SHP",
1027,臺中市大甲(日南地區)都市計畫區一千分之一地形圖_TWD97,約2011年地測,http://opendata.taichung.gov.tw/dataset/9679e7ff-04b0-48a0-a5f0-6c9d15deeb9f,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,31,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1028,臺中市建物_WGS84,"原臺中市現場地面測量,wgs84",http://opendata.taichung.gov.tw/dataset/bdaa52e5-b5d6-4a62-81b6-d4d5e9728c45,圖名代碼、房屋型態碼、房屋結構碼、建物樓層數、更新年度、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,303822,臺中市政府都市發展局,高嘉隆,04-22289111轉65302,台中市,中文,rawData,"臺中市,建物,地理資料,SHP","欄位編碼說明:房屋型態:(1:獨戶(無與他戶共用牆或四周有庭院之房舍,2:雙併(兩棟房屋為一單元且有共用牆者),3:連棟式透天厝,4:連棟式公寓,5:獨棟式公寓,6:大廈(六樓(含)以上);房屋結構(1:木造D,2:磚造B,3:鐵架搭建T,4:R.C.(及鋼骨結構),5:其他)"
1029,臺中市道路面_TWD67,原臺中市現場地面測量,http://opendata.taichung.gov.tw/dataset/8c136403-f1ac-4c80-b980-e8fdb7526212,圖名代碼、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路,地理資料,SHP",
1030,臺中市地標圖_TWD67,"以105年地標資料為基礎,再擇使用率高者更新",http://opendata.taichung.gov.tw/dataset/9c3f9827-967d-4c8c-910a-b4cc77ecb5aa,圖名代碼、X坐標、Ｙ坐標、地標分類碼、地標大分類、地標小分類、地標名稱、地標別名、備註、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,14883,臺中市政府研究發展考核委員會,向秀觀,04-22289111轉22119,臺中市,中文,rawData,"千分之一地形圖,重要地標,地標,地理資料,SHP",
1031,臺中市千分之一航測地形圖_TWD97,"地面測量,twd97,cad",http://opendata.taichung.gov.tw/dataset/4b9bbc59-9d67-48c5-9506-7e74bc492524,"cad檔案,無欄位",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,406,臺中市政府都市發展局,高嘉隆,04-22289111轉65302,台中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地理資料","欄位編碼說明:房屋型態:(1:獨戶(無與他戶共用牆或四周有庭院之房舍,2:雙併(兩棟房屋為一單元且有共用牆者),3:連棟式透天厝,4:連棟式公寓,5:獨棟式公寓,6:大廈(六樓(含)以上);房屋結構(1:木造D,2:磚造B,3:鐵架搭建T,4:R.C.(及鋼骨結構),5:其他)"
1032,臺中市道路面_WGS84,"原臺中市現場地面測量,wgs84",http://opendata.taichung.gov.tw/dataset/afb3f8eb-82de-4c9b-806d-7ed61067be4a,圖名代碼、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府建設局,黃一峰,04-22289111轉33328,台中市,中文,rawData,"千分之一地形圖,道路,地理資料,SHP",
1033,臺中市道路交叉點_TWD97,由道路中心線系統化產生,http://opendata.taichung.gov.tw/dataset/9d0e48da-702f-4e4d-80dd-97a3c506e7f9,圖名代碼、ROAD1、ROAD2、X坐標、Ｙ坐標,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,50196,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"道路,地理資料,SHP",
1034,臺中市大安都市計畫區一千分之一地形圖_TWD97,約2011年地測,http://opendata.taichung.gov.tw/dataset/78b59c9b-0774-4f95-b724-58545d4eb77e,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,13,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1035,臺中市大雅都市計畫區一千分之一地形圖_TWD97,約2008年地測,http://opendata.taichung.gov.tw/dataset/b536f5f4-a48d-48c5-aa43-c411c97a22f5,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,25,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1036,臺中市太平(新光)都市計畫區一千分之一地形圖_TWD97,約2001年地測,http://opendata.taichung.gov.tw/dataset/a9cc904c-bb12-4e3e-82b5-1001cba642eb,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,53,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1037,臺中市太平都市計畫區一千分之一地形圖_TWD97,約2001年地測,http://opendata.taichung.gov.tw/dataset/7f93091a-e86c-47f9-8b4a-a1f42f36d493,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,52,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1038,臺中市石岡水壩都市計畫區一千分之一地形圖_TWD97,約2002年地測,http://opendata.taichung.gov.tw/dataset/a7d6cd50-ee36-41d6-b0b3-a160fcf03340,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,29,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1039,臺中市梨山(環山地區)都市計畫區一千分之一地形圖_TWD97,約2007年地測,http://opendata.taichung.gov.tw/dataset/bf43e7da-2fad-4b30-abaf-e90a76563b8c,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,4,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1040,臺中市豐原交流道都市計畫區一千分之一地形圖_TWD97,約2005年地測,http://opendata.taichung.gov.tw/dataset/7f8a6355-c187-488b-8970-455af6f2d1e9,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,78,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1041,臺中市豐原都市計畫區一千分之一地形圖_TWD97,約2005年地測,http://opendata.taichung.gov.tw/dataset/84a1e96c-39d4-4b0c-9f0d-87c24696b92e,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,68,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1042,臺中市都市計畫圖(GIS)_WGS84,依都市發展局提供的都市計畫公告資料數化建檔而成。,http://opendata.taichung.gov.tw/dataset/92e709f3-bdca-47ae-bfa9-0a5219f9b891,行政區、使用分區、分區簡稱、都計名稱、劃設日期、面積、建蔽率、容積率、上限容積、都市計畫區名稱、細部計畫區名稱、備註、修圖日期、發布文號、計畫案名,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,23273,臺中市政府都市發展局,高嘉隆,04-22289111轉65302,臺中市,中文,rawData,"SHP,都市計畫圖,使用分區,地理資料",
1043,臺中市 臺中港特定區地形圖_TWD97,約95年地測,http://opendata.taichung.gov.tw/dataset/cd7af39d-4a26-459f-b649-ddd3a37e16d6,cad檔案無欄位,一般民眾,https://data.gov.tw/license,不定期,免費,公共資訊,401,臺中市政府都市發展局,陳廷宇,04-22289111-65216,臺中市,中文,rawData,"臺中港特定區地形圖,CAD,地形圖,地形,地理資料",
1044,臺中市道路交叉點_TWD67,由道路中心線系統化產生,http://opendata.taichung.gov.tw/dataset/78491bbb-0e20-493e-9108-b04e82663818,圖名代碼、ROAD1、ROAD2、X坐標、Ｙ坐標,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,50196,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"道路,地形圖,地理資料,SHP",
1045,臺中市大里(草湖地區)都市計畫區一千分之一地形圖_TWD97,約2002年地測,http://opendata.taichung.gov.tw/dataset/df30ffc8-1d24-469b-b13f-463ecff80ddd,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,16,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,CAD,地形圖,地形,地理資料",
1046,臺中市 鐵砧山風景特定區地形圖_TWD97,約93年地測,http://opendata.taichung.gov.tw/dataset/ede906b4-f7e4-4696-b7ec-40d7564a44d7,cad檔案無欄位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,9,臺中市政府都市發展局,陳廷宇,04-2228-9111,臺中市,中文,rawData,"鐵砧山風景特定區地形圖,CAD,地形圖,地形,地理資料",
1047,臺中市政府消防局104年度上半年物資捐贈及現金捐款芳名冊  ,臺中市政府消防局104年度上半年物資捐贈及現金捐款芳名冊  ,http://opendata.taichung.gov.tw/dataset/3b70f07d-1a9f-11e8-8f43-00155d021202,臺中市政府消防局104年度上半年物資捐贈及現金捐款芳名冊  ,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府消防局,李幸航,0988785332,,中文,rawData,"物資捐贈,現金捐款",
1048,臺中市都市計畫區範圍_TWD67,依都市計畫圖範圍位置之界限,http://opendata.taichung.gov.tw/dataset/d5802bcc-2a3a-49ab-b240-8b5e776ab7cb,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,32,臺中市政府都市發展局,陳廷宇,04-22289111轉65216,臺中市,中文,rawData,"千分之一地形圖,都市計畫圖,地理資料",
1049,臺中市地標圖_TWD97,"以105年地標資料為基礎,再擇使用率高者更新",http://opendata.taichung.gov.tw/dataset/d555697e-7d4a-40fa-abd5-4452f0bfea2e,圖名代碼、X坐標、Ｙ坐標、地標分類碼、地標大分類、地標小分類、地標名稱、地標別名、備註、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,14883,臺中市政府研究發展考核委員會,向秀觀,04-22289111轉22119,臺中市,中文,rawData,"千分之一地形圖,重要地標,地標,地理資料,SHP",
1050,臺中市道路中心線_TWD67,原臺中市現場地面測量,http://opendata.taichung.gov.tw/dataset/e8e6b86c-8562-4588-b286-002253332025,圖名代碼、路名、地區、巷、弄、單雙向、左向車道數、右向車道數、速限、路寬、區分級別、長度、更新年度、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,28891,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路",
1051,臺中市地標圖_WGS84,"以105年地標資料為基礎,再擇使用率高者更新",http://opendata.taichung.gov.tw/dataset/ef479076-35c0-4508-be58-a8c513b9cd9d,圖名代碼、X坐標、Ｙ坐標、地標分類碼、地標大分類、地標小分類、地標名稱、地標別名、備註、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,14883,臺中市政府研究發展考核委員會,向秀觀,04-22289111轉22119,臺中市,中文,rawData,"千分之一地形圖,重要地標,地標,地理資料,SHP",
