"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"959","臺北市各區公所免費市民法律諮詢服務資料","臺北市政府民政局","不定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=95e1fc57-7605-4c89-8361-dfeac479f45f","公共資訊","臺北市各區公所法律諮詢服務相關資料","區別(district)、調解會秘書(secretary,Mediation Committee)、聯絡電話(telephone)、機關地址(address)  受理方式：  (一)服務地點：臺北市12區公所。  (二)服務時間：每週一至週五，上午9時30分至11時30分。  (三)登記方式：電話預約或當日現場登記，原則各5位（為維護服務品質，每人諮詢時間約10-15分鐘），名額有限、預約從速，細節請洽各區公所調解秘書。  (四)服務範圍：各種法律問題皆可詢問，惟不提供電話諮詢、不代寫訴狀。","原始資料","2017-08-30 11:35:00","臺北市政府民政局","12","2013-01-01","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","法律,諮詢","2014-12-31 11:48:02","游宜欣","02-27258396-8396","claire0630@civil.tcg.gov.tw",""
"960","臺北市自行車河濱出入口","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=e01c863f-cbd4-41d7-879b-a73c8b853f84","休閒旅遊","自行車河濱出入口說明,WGS84座標"," Riverside_Park,Location,Latitude,Longitude,TYPE,Photo
","原始資料","2017-08-30 10:38:15","臺北市政府工務局水利工程處","110","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8,Big5","出入口,河濱","2014-12-31 11:52:35","李金益","02-27258185","da_10765@mail.taipei.gov.tw",""
"961","臺北市疏散門資訊","臺北市政府工務局水利工程處","不定期","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=c28d3d7c-da3d-4c67-b8b8-9547fc63af1c","公共資訊","臺北市疏散門位置,WGS84座標","X,Y,Name,Descriptio,field_3
","原始資料","2017-08-30 10:37:25","臺北市政府工務局水利工程處","36","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","疏散門","2014-12-31 11:52:39","何勝益","02-27208889-2660","da_k6186504@mail.taipei.gov.tw",""
"962","臺北市自行車道(河濱)","臺北市政府工務局水利工程處","不定期","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=2c0ebd6a-8962-4096-839d-c3c8c60ba37f","交通及通訊","自行車道(河濱)介紹,WGS84座標","Route,Description","原始資料","2017-08-30 10:35:50","臺北市政府工務局水利工程處","16","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","自行車道","2014-12-31 11:52:37","柯宛伶","27208889#2660","da_10870@mail.taipei.gov.tw",""
"963","臺北市河濱求救點資訊","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=adc81254-d8cb-45f1-96d1-e6e56ad23d32","休閒旅遊","河濱求救點資訊,WGS84座標","X,Y,Name,河系,管理站","原始資料","2017-08-30 10:34:29","臺北市政府工務局水利工程處","963","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","求救","2014-12-31 11:51:52","柯宛伶","02-27252660","da_10870@mail.taipei.gov.tw",""
"964","臺北市自行車可通行之橋樑","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=fb44e421-0041-487c-b42c-3a159dfbb72d","休閒旅遊","自行車可通行之橋樑,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Photo","原始資料","2017-08-30 10:33:25","臺北市政府工務局水利工程處","37","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","橋樑,自行車","2014-12-31 10:58:46","李金益","27208889分機8185","da_10765@mail.taipei.gov.tw",""
"965","臺北市河濱休憩點","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=0c75f5b0-0439-4fa4-a155-fe451dceb276","休閒旅遊","各自行車休憩點位置,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Type,Photo
","原始資料","2017-08-30 10:32:03","臺北市政府工務局水利工程處","83","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","休憩,河濱","2014-12-31 11:49:12","李金益","02-27208889-8185","da_10765@mail.taipei.gov.tw",""
"966","臺北市河濱公園涼亭","臺北市政府工務局水利工程處","不定期更新","KML,ZIP","https://beta.data.taipei/dataset/detail/metadata?id=5cb3555b-8fd0-47a9-9311-fb596b3f531e","公共資訊","臺北市河濱公園涼亭與橋下休憩位置","臺北市河濱公園涼亭與橋下休憩位置、所屬河濱公園","網路服務","2017-08-30 10:30:36","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-07-01 15:34:34","林芳慈","02-27208889-2660","da_43209@mail.taipei.gov.tw",""
"967","臺北市河濱公園越堤階梯","臺北市政府工務局水利工程處","1年","KML,ZIP","https://beta.data.taipei/dataset/detail/metadata?id=c10c9cf7-19b1-46c4-891b-d9f4652c46e2","公共資訊","臺北市河濱公園越堤梯位置","臺北市河濱公園越堤梯編號、所屬河濱公園、管理單位","網路服務","2017-08-30 10:29:29","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","","","","Big5,UTF-8","","2016-07-04 14:40:41","林芳慈","02-27208889-2660","da_43209@mail.taipei.gov.tw",""
"968","臺北市母嬰親善醫療院所","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=a09451c2-6783-4afe-af16-c97e812549a3","公共資訊","臺北市母嬰親善醫療院所","name(醫院名稱), address_for_display(顯示用地址地址),address_for_system(系統辨識用地址) telephone(電話)","原始資料","2017-08-28 14:31:53","臺北市政府衛生局","23","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","性別平等,性平,母嬰親善,醫療院所","2014-12-31 11:49:53","范綺萍","02-27208889-1834","vanyeeping@health.gov.tw",""
"969","違反食品安全衛生管理法違規案件公開","臺北市政府衛生局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=8f2d9fd8-b967-4917-9357-c2a5d56cc4fd","公共資訊","違反食品安全衛生管理法違規案件公開","日期,違規情節,抽驗地點/違規商號名稱,新聞稿連結,確認產品下架時間","原始資料","2017-08-24 11:34:18","臺北市政府衛生局","11","","","依政府資料開放授權條款-第1版","免費","","","","Big5","","2017-07-10 19:36:31","李亞蒨","02-27208889-7105","marry@health.gov.tw",""
"970","家戶健康訪視服務成果報表","臺北市政府衛生局","不定期","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=acec7e38-84aa-4114-9e4b-b5b68a805445","公共資訊","訪視服務成果報表","行政區，訪視狀況，血壓，尿糖，尿蛋白，膽固醇，血糖","原始資料","2017-08-22 15:05:20","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版"," 免費","","","","UTF-8","","2015-05-26 09:26:51","陳婷婷","02-23759800-1846","Pp1212121212@health.gov.tw",""
"971","臺北市丙型干擾素血液測驗(IGRA)合作醫療院所名單","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=c4557036-8e61-448d-ad68-7f350b6dd30f","公共資訊","臺北市丙型干擾素血液測驗(IGRA)合作醫療院所名單","機構名稱、地址、電話","原始資料","2017-08-22 15:00:14","臺北市政府衛生局","7","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","","2015-08-11 09:37:34","陳泰合","02-23799800-1972","taidchen@health.gov.tw",""
"972","臺北地區災時供水狀態資訊","臺北自來水事業處","災時訊息發布時同步更新","","https://beta.data.taipei/dataset/detail/metadata?id=b9be0e85-a7b6-4528-9260-c25c634fecd6","生活安全及品質","臺北地區災時停水與減壓區域及相關資訊","KML格式，欄位包含狀態(停水/減壓)、原因、區域、發生時間、預計修復時間、聯絡單位、聯絡電話、資料更新時間、備註與範圍點位","原始資料","2017-08-04 14:57:29","臺北自來水事業處","119","","","依政府資料開放授權條款-第1版","無","無","無","無","","","2017-04-26 10:50:35","陳輝哲","02-87335711","hueije@water.gov.taipei",""
"973","臺北市電動機車充電地址及充電格位","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=166e8fda-93ea-4f2c-84b2-62ddea6fd0d2","公共資訊","臺北市電動機車充電地址及充電格位","名稱、行政區、地址","原始資料","2017-08-03 15:40:12","臺北市政府環境保護局","370","2010-05-26","2016-05-17","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","充電站,環境保護,電動機車","2014-12-31 11:48:38","翁嘉?","02-27208889-7242","la-jweng@mail.taipei.gov.tw",""
"974","臺北市娛樂營業場所噪音告發案件點位資訊","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=b54c0689-61b4-4877-90c0-df0e0586c7dc","生活安全及品質","娛樂營業場所噪音告發案件資訊","編號,行政區,稽查地點,稽查日期,量測音量","原始資料","2017-08-02 16:53:33","臺北市政府環境保護局","82","2017-01-01","2017-06-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","噪音,娛樂營業場所","2016-07-01 09:35:14","陳俊宏","02-27208889-7247","la-jhchen@mail.taipei.gov.tw","1.有關本次公開營建工程、娛樂營業場所及非營業用卡拉OK三種類別噪音告發案件點位資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供行政區、稽查地點、稽查日期、量測音量資料庫欄位(地址預先進行模糊處理)。
2.考量噪音的即時性及噪音源之改善，公開資訊更新頻率為每個月不定期更新1次，並固定維持3個月的資料量。"
"975","臺北市非營業用卡拉OK噪音告發案件點位資訊","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=912d38c3-92ca-49aa-9678-e3f85b969abc","生活安全及品質","非營業用卡拉OK噪音告發案件資訊","編號,行政區,稽查地點,稽查日期","原始資料","2017-08-02 16:52:49","臺北市政府環境保護局","37","2017-01-01","2017-06-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","卡拉OK,噪音,非營業用卡拉OK","2016-07-01 10:18:17","陳俊宏","02-27208889-7247","la-jhchen@mail.taipei.gov.tw","1.有關本次公開營建工程、娛樂營業場所及非營業用卡拉OK三種類別噪音告發案件點位資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供行政區、稽查地點、稽查日期、量測音量資料庫欄位(地址預先進行模糊處理)。
2.考量噪音的即時性及噪音源之改善，公開資訊更新頻率為每個月不定期更新1次，並固定維持3個月的資料量。"
"976","臺北市營建工程噪音告發案件點位資訊","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=1c01c0a5-9bd3-464b-b110-fbb6d0b26e25","生活安全及品質","營建工程噪音告發資訊","編號,行政區,稽查地點,稽查日期,量測音量","原始資料","2017-08-02 16:41:18","臺北市政府環境保護局","261","2017-01-01","2017-06-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","噪音,營建工程","2016-07-01 09:55:44","陳俊宏","02-27208889-7247","la-jhchen@mail.taipei.gov.tw","1.有關本次公開營建工程、娛樂營業場所及非營業用卡拉OK三種類別噪音告發案件點位資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供行政區、稽查地點、稽查日期、量測音量資料庫欄位(地址預先進行模糊處理)。
2.考量噪音的即時性及噪音源之改善，公開資訊更新頻率為每個月不定期更新1次，並固定維持3個月的資料量。"
"977","臺北市河川區域線","臺北市政府工務局水利工程處","每年","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=d956f1aa-9879-43c0-b59f-dffb4bdf53a3","公共資訊","臺北市河川區域線位置,,TWD97-TM2座標
","識別碼,河川名稱,公告日期,起點,迄點,長度(公尺),行政區","原始資料","2017-07-28 09:59:15","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2016-06-30 17:25:22","朱柏仰","02-27208889-2657","da_10899@mail.taipei.gov.tw",""
"978","水利處監視器","臺北市政府工務局水利工程處","每年","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=1b061a94-a811-424f-aa97-bd0a4e5697c1","公共資訊","水利處監視器位置,TWD97-TM2座標
","識別碼,名稱,完工年度,座標(X),座標(Y),河川名稱,行政區","原始資料","2017-07-28 09:55:11","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2016-06-30 17:21:28","朱柏仰","02-27208889-2657","da_10899@mail.taipei.gov.tw",""
"979","水利處河川水位站","臺北市政府工務局水利工程處","每年","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=978d18d2-3f41-4abf-ad61-2fa5239b4133","公共資訊","水利處河川水位站,TWD97-TM2座標","識別碼,名稱,完工年度,座標(X),座標(Y),河川名稱,行政區","原始資料","2017-07-28 09:51:46","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2016-06-30 17:06:52","朱柏仰","02-27208889-2657","da_10899@mail.taipei.gov.tw",""
"980","臺北市水準點","臺北市政府工務局水利工程處","每年","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=42cd537d-6788-4bd9-99e8-8e7a9db4f6f5","公共資訊","臺北市水準點位置,TWD97-TM2座標
","識別碼,點號,等級,埋設單位,完工年度,座標(X),座標(Y),河川名稱,行政區","原始資料","2017-07-28 09:50:57","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2016-06-30 16:45:29","朱柏仰","02-27208889-2657","da_10899@mail.taipei.gov.tw",""
"981","臺北市藍色公路碼頭","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=15e584d1-60e3-42bd-b2be-6c7815e538e3","休閒旅遊","藍色公路碼頭位置,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Photo","原始資料","2017-07-26 17:10:09","臺北市政府工務局水利工程處","5","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","碼頭","2014-12-31 10:57:15","孫月娉","27208889分機8183","da_ping@mail.taipei.gov.tw",""
"982","臺北市延慧書庫","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=1fb4811b-a4ff-4a3b-97f0-8db947c27d3d","公共資訊","提供民眾捐贈書籍的類別及數量資訊","文具：品項,規格,現有數；
文學書籍：分類號,類型,書名,作者,出版社；
國小參考書：科目,類型,書名,出版社,數量；
國中參考書：科目,類型,書名,出版社,數量；
高中參考書：科目,類型,書名,出版社,數量；
親子書籍：類型,書名,出版社,備註","原始資料","2017-07-25 10:48:28","臺北市政府環境保護局","567","2015-03-30","2017-07-25","依政府資料開放授權條款-第1版","免費","無","無","http://epb-secondhand.weebly.com/","UTF-8","二手,參考書,延慧書庫,文具,書籍","2015-05-12 09:17:31","李忠翰","02-27208889-1757","la-jack1213@mail.taipei.gov.tw",""
"983","臺北市行道樹分佈圖","臺北市政府工務局公園路燈工程管理處","每半年","7z","https://beta.data.taipei/dataset/detail/metadata?id=7a49d00c-a5ff-4a6b-be9e-aaa6dc1ff7e8","生活安全及品質","提供臺北市行道樹位置","臺北市行道樹分佈位置座標(TWD97)","原始資料","2017-07-13 17:16:06","臺北市政府工務局公園路燈工程管理處","約90000筆","2013-01-01","2014-09-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","行道樹,路樹","2014-12-31 11:53:46","許玉玲 小姐","02-23815132#315","db-ling@mail.taipei.gov.tw",""
"984","臺北市土石流防災地圖","臺北市政府工務局大地工程處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=fd60b48c-2fbc-47d5-843f-907055508016","公共資訊","臺北市土石流防災地圖9幅","類別、編號","原始資料","2017-07-07 10:09:35","臺北市政府工務局大地工程處","9幅","2012/03/23","2015/12/31","依政府資料開放授權條款-第1版","免費","無","無","","","臺北市土石流防災地圖","2014-12-31 11:54:13","陳貞樺","02-27593001#3432","ge-10532@mail.taipei.gov.tw",""
"985","臺北市政府106年辦理員額評鑑檢討報告","臺北市政府人事處","俟有新年度檢討報告完成後更新","docx","https://beta.data.taipei/dataset/detail/metadata?id=47c041e4-4c13-473f-9220-f5ab6ba4940c","公共資訊","臺北市政府106年辦理員額評鑑檢討報告，收錄106年臺北市政府辦理員額評鑑作業及檢討建議作為","辦理依據，辦理程序，辦理目的，評鑑小組建議事項，建議未來作為","原始資料","2017-07-06 08:46:16","臺北市政府人事處","一筆","2017-01-01","2017-12-31","依政府資料開放授權條款-第1版","0","","","","UTF-8","","2017-07-06 08:44:10","李琇琪","02-27287707-7707","dop-a103@mail.taipei.gov.tw",""
"986","臺北市雨水下水道管線資料","臺北市政府工務局水利工程處","不定期更新","7z,xlsx","https://beta.data.taipei/dataset/detail/metadata?id=ec6787d3-f15c-41b1-a427-ddcd74e2ff80","公共資訊","臺北市雨水下水道管線分布位置
提供SHP檔案格式
","臺北市雨水下水道管線分布位置、管線屬性資料表","網路服務","2017-07-05 16:40:43","臺北市政府工務局水利工程處","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-07-04 14:26:05","謝佳穎","02-27208889-8210","da_michelle@mail.taipei.gov.tw",""
"987","房屋地段等級表","臺北市稅捐稽徵處","不定期","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=27b5c84f-d7c3-42d3-b9ee-100c08134117","公共資訊","臺北市房屋街路等級調整率表","行政區域、街路名稱、段數、起迄點、調整率%","原始資料","2017-07-04 10:05:22","臺北市稅捐稽徵處","","","","依政府資料開放授權條款-第1版","免費","","","","Big5","","2017-01-11 11:54:59","賴一成","02-23949211-287","ct-5257@mail.taipei.gov.tw",""
"988","本府派兼富邦金控公股董事及推薦獨立董事名單","臺北市政府財政局","每3年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=937cdb47-d52e-4333-beab-03bd7f35dfb2","投資理財","本府派兼富邦金控公股董事及推薦獨立董事名單","職稱、姓名、任期","原始資料","2017-07-04 09:50:18","臺北市政府財政局","5","2015-01-08","2015-05-15","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","富邦金控","2015-05-14 16:14:01","莊曉鳴","02-27208889-2882","walles@mail.taipei.gov.tw",""
"989","地方稅務行事曆","臺北市稅捐稽徵處","每年","XLS","https://beta.data.taipei/dataset/detail/metadata?id=281ca905-49b6-436f-b589-4e9fd437de33","公共資訊","地方稅務行事曆
","作業日期、工作提要
","原始資料","2017-07-03 10:11:36","臺北市稅捐稽徵處","23","2015-01-01","2015-12-31","依政府資料開放授權條款-第1版","免費","無","無","","BIG-5 ","地方稅務行事曆","2014-12-31 11:52:18","朱美羚","02-23949211-186","ct-3195@mail.taipei.gov.tw",""
"990","臺北市受保護樹木","臺北市政府文化局","不定時","XML","https://beta.data.taipei/dataset/detail/metadata?id=d9d1140b-c2c3-405f-8dd1-7b87b00f6f53","公共資訊","受保護樹木","樹種代碼、樹種名稱","原始資料","2017-06-27 17:51:22","臺北市政府文化局","1768","2011-09-01","2013-08-02","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","台北市受保護樹木","2014-12-31 11:56:39","鄭梓宣","(02) 2720-8889 ext.3529","bt_phoebe@mail.taipei.gov.tw",""
"991","臺北市少年輔導委員會105年工作年報","臺北市政府警察局","不更新","PDF","https://beta.data.taipei/dataset/detail/metadata?id=9055b1bc-15c0-4768-9e4a-741d659cadda","公共資訊","展現本會年度工作成果暨強化少年犯罪防治宣導","工作年報","原始資料","2017-06-27 16:03:00","臺北市政府警察局","1份","2016-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-06-17 16:59:05","蔡麗滿","23467585#1213","lily0828@tcpd.gov.tw",""
"992","臺北市甲級廢棄物清除處理機構名單","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=9ea59aaf-cb6c-4fb6-b1a0-b8c0bfc0b5a3","公共資訊","臺北市甲級廢棄物清除處理機構級別,管制編號,機構名稱,電話,機構地址,主要營業項目,許可證字號等資訊","序號,級別,管制編號,機構名稱,電話,機構地址,主要營業項目,許可證字號","原始資料","2017-06-27 15:27:34","臺北市政府環境保護局","6","2014-12-25","2017-06-27","依政府資料開放授權條款-第1版","免費","無","無","無","UTF-8","清除處理機構,環境保護,甲級廢棄物","2014-12-31 11:46:38","林世明","02-27208889-7294","la_lsm@mail.taipei.gov.tw",""
"993","臺北市垃圾清運點位資訊","臺北市政府環境保護局","不定期","XML","https://beta.data.taipei/dataset/detail/metadata?id=119efc37-541b-4aca-a16a-7ba210aafa1f","生活安全及品質","臺北市垃圾清運點位資訊","發布單位、名稱、內容、經度、緯度、更新時間","網路服務","2017-06-27 10:45:39","臺北市政府環境保護局","4050","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","垃圾清運,環境保護","2014-12-31 11:57:25","戴妃伶","02-27208889-7266","la-3855hg@mail.taipei.gov.tw",""
"994","天然災害停止上班及上課情形-行政院人事行政總處全球資訊網","臺北市政府人事處","不定期","","https://beta.data.taipei/dataset/detail/metadata?id=7065e74a-67b6-458e-ba0a-a5a940bfc871","公共資訊","天然災害停止上班及上課情形-行政院人事行政總處全球資訊網","縣市名稱、是否停止上班上課情形","網路服務","2017-06-26 14:42:21","臺北市政府人事處","依網站公布之資訊量為準","2015-01-01","2015-12-31","依政府資料開放授權條款-第1版","免費","無","無","","","停止上班及上課情形","2015-08-19 16:34:04","張家祥","02-27208889-7723","dop-a309@mail.taipei.gov.tw",""
"995","臺北市政府環境保護局污染源稽查(查核)處分概況月報表","臺北市政府環境保護局","每月","XLS,xlsx,ods","https://beta.data.taipei/dataset/detail/metadata?id=a2947e06-966d-468b-870f-8e1020603321","生活安全及品質","統計本市每月污染源稽查(查核)處分概況","污染類別及稽查處分概況","原始資料","2017-06-20 15:49:15","臺北市政府環境保護局","","2015-01-01","2017-05-31","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","查核,污染源,環境,環境保護,稽查,處分","2015-08-03 14:08:25","柯明慧","02-27208889-7236","la-penny@mail.taipei.gov.tw",""
"996","臺北市公害陳情案件受理統計月報表","臺北市政府環境保護局","每月","XLS,xlsb,xlsx,ods","https://beta.data.taipei/dataset/detail/metadata?id=9e5784d3-cb9b-4d0e-add9-87c7f61accdb","生活安全及品質","統計本市每月受理公害陳情案件數量","被陳情對象別及污染源別","原始資料","2017-06-20 15:26:36","臺北市政府環境保護局","","2015-01-01","2017-05-31","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2015-08-03 14:01:30","柯明慧","02-27208889-7236","la-penny@mail.taipei.gov.tw",""
"997","臺北市內湖垃圾焚化廠營運管理及環境品質監測報告","臺北市政府環境保護局內湖垃圾焚化廠","每半年","odt","https://beta.data.taipei/dataset/detail/metadata?id=3cab0f52-0a0d-4744-9b98-f2ff20c5932c","公共資訊","涵蓋內湖垃圾焚化廠（以下簡稱本廠）營運操作之處理物進廠及產出物出廠統計：如垃圾進廠量、焚化量、底渣及飛灰產生量，以及進出本廠之清運車輛、廚餘進廠量等統計數據。

另外亦包含本廠污染防制之作為如：廢氣、水污染、噪音、底渣灼燒減量、底渣及飛灰穩定化物重金屬及戴奧辛等項目，進行監控防制與相關數據統計報告。

本廠敦親睦鄰及回饋設施之使用人次併同收集於本資料集。","內容摘要、焚化廠營運管理、污染防制及監測、敦親睦鄰與回饋設施及景觀維護、結論與建議及其他事項","原始資料","2017-06-12 10:18:26","臺北市政府環境保護局內湖垃圾焚化廠","18","1998-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","內湖垃圾焚化廠,焚化廠,焚化爐","2014-12-31 11:49:27","張淯植","02-27961833分機212","fs_mlb@mail.taipei.gov.tw",""
"998","臺北市營建工地空污費繳費櫃檯","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=5c8a16b0-9c3e-4359-bb5f-e2d918a161ce","公共資訊","臺北市營建工程空氣污染防制費申報櫃檯","地址、聯絡電話","原始資料","2017-06-03 09:46:30","臺北市政府環境保護局","1","2016-04-21","2016-04-29","依政府資料開放授權條款-第1版","免費","無","無","無","UTF-8","營建工程,空氣污染","2016-05-17 15:09:04","柯明慧","02-27208889-7236","la-penny@mail.taipei.gov.tw",""
"999","臺北市空品淨化區資訊","臺北市政府環境保護局","每半年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=01ac8197-1f7e-42f3-9b98-8c47a6c3195c","公共資訊","臺北市空氣品質淨化區位置等相關資訊","基地名稱、地址","原始資料","2017-06-03 09:45:40","臺北市政府環境保護局","9","2016-01-01","2016-04-29","依政府資料開放授權條款-第1版","免費","無","無","無","UTF-8","環境,空品,空氣品質","2016-05-17 15:02:49","廖淑珠","02-27287249-7249","la-liao@mail.taipei.gov.tw",""
"1000","臺北市河濱輕食區","臺北市政府工務局水利工程處","每年","ZIP,CSV","https://beta.data.taipei/dataset/detail/metadata?id=760bf53a-e0cc-4832-a948-85ea6421ad04","休閒旅遊","河濱輕食區位置,WGS84座標","河濱公園、位置描述、餐飲型態、營業時間","原始資料","2017-05-31 11:49:54","臺北市政府工務局水利工程處","6","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5","河濱,輕食","2014-12-31 11:49:25","邱奕龍","02-29926225-600","da_10918@mail.taipei.gov.tw",""
"1001","臺北捷運各站進出量統計","臺北大眾捷運股份有限公司","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=1d71c478-205f-42c5-8386-35f86d74fdd1","交通及通訊","捷運車站每日各站進出量統計(自104年11月起提供每小時各站進出站量統計)。
本公司考量拓展資料使用之面向，自106年1月起提供「臺北捷運每日分時各站OD流量統計資料」(資料集名稱：臺北捷運各站分時進出量統計)，故本項統計資料將提供至105年12月止。
","站名、日期、旅運量","原始資料","2017-05-26 17:10:23","臺北大眾捷運股份有限公司","23354","2015-01-01","2016-12-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","台北捷運,臺北捷運,進出量","2015-05-12 16:36:07","劉亦昌","02-25505600#2036","e23434@metro.taipei",""
"1002","資訊局虛擬形象著作（230與她的好朋友們）","臺北市政府資訊局","不定期","ZIP,png,jpg","https://beta.data.taipei/dataset/detail/metadata?id=cf99a624-2e18-4d9e-84de-105cd15df174","公共資訊","本資料集提供資訊局虛擬代言人230之形象著作，資料集內著作依「臺北市政府資料開放使用規範」開放民眾加值利用，使用時請加註「圖案來源：臺北市政府資訊局」。","虛擬形象圖檔","原始資料","2017-05-19 12:01:19","臺北市政府資訊局","","2015-08-11","2016-09-29","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2015-08-11 18:50:24","郎小姐","02-27258587","ic-yuping@mail.taipei.gov.tw",""
"1003","捷運已通車路網說明","臺北市政府捷運工程局","不定期","","https://beta.data.taipei/dataset/detail/metadata?id=7d434479-8763-4aa3-abfd-c9009cbd68a8","交通及通訊","捷運已通車路網各路線說明","捷運已通車路網各路線說明","原始資料","2017-05-19 08:57:14","臺北市政府捷運工程局","13","1996-03-01","2015-06-30","依政府資料開放授權條款-第1版","免費","","","","","捷運,捷運路網","2015-05-06 13:56:08","傅彥霖","02-25215550-8134","lier107@trts.dorts.gov.tw",""
"1004","廢巷及改道公告","臺北市政府都市發展局","不定期","XLS","https://beta.data.taipei/dataset/detail/metadata?id=6443b940-3346-4c43-a086-a6eccf8717d1","公共資訊","廢巷及改道公告","廢巷及改道公告","原始資料","2017-05-16 13:18:41","臺北市政府都市發展局","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2014-12-31 10:58:11","林家正","02-27208889#1311","lewis@udd.taipei.gov.tw",""
